Image Name,x1,y1,x2,y2
casent0904793_p_1.png,333,182,610,172
casent0137905_p_1.png,459,133,729,216
casent0922471_p_1.png,283,138,639,257
casent0902060_p_1.png,613,171,1033,308
casent0915236_p_1.png,247,194,680,268
focol1646_p_1.png,514,179,1028,145
casent0903640_p_1.png,544,336,1001,502
casent0359652_p_1.png,723,186,1157,296
focol1550_p_1.png,309,280,724,309
casent0905594_p_1.png,258,212,705,406
casent0249576_p_1.png,216,126,481,178
ecofog-bug-0029-11_p_1.png,465,318,971,349
casent0906835_p_1.png,377,96,747,180
casent0903408_p_1.png,323,195,687,333
focol2833_p_1.png,262,247,673,285
casent0922896_p_1.png,287,173,812,149
casent0101628_p_1.png,441,219,741,343
focol1498_p_1.png,1292,188,756,195
casent0631367_p_1.png,190,246,578,271
casent0052814_p_1.png,180,143,581,186
inbiocri002279444_p_1.png,279,208,678,315
casent0649085_p_1.png,490,236,1056,337
casent0147524_p_1.png,341,141,341,141
casent0249156_p_1.png,158,205,640,194
focol0718-2_p_1.png,929,315,636,390
casent0917712_p_1.png,326,205,728,248
casent0882283_p_1.png,432,432,936,565
casent0178147_p_1.png,175,197,626,267
castype06893_p_1.png,240,130,660,248
casent0900920_p_1.png,654,130,1024,278
casent0249796_p_1.png,396,98,646,250
casent0911760_p_1.png,471,280,1051,353
casent0280173_p_1.png,153,170,441,253
casent0909848_p_1.png,584,265,1021,402
casent0178444_p_1.png,305,142,599,168
casent0103159_p_1.png,219,179,687,318
casent0173407_p_1.png,217,176,587,278
casent0914861_p_1.png,367,111,694,249
casent0907936_p_1.png,463,241,741,332
casent0903059_p_1.png,292,98,657,253
focol2442_p_1.png,271,279,693,338
casent0280894_p_1.png,249,182,648,274
casent0619482_p_1.png,528,258,985,402
casent0712603_p_1.png,293,158,648,218
casent0172822_p_1.png,250,241,598,294
casent0172439_p_1.png,217,197,603,291
casent0282013_p_1.png,438,129,717,269
casent0915360_p_1.png,145,192,562,299
ecofog-it14-0265-39_p_1.png,271,176,677,213
casent0103000_p_1.png,429,162,796,276
casent0102152_p_1.png,249,185,670,235
casent0912154_p_1.png,251,151,652,283
casent0903815_p_1.png,328,242,738,336
inbiocri002281499_p_1.png,360,205,812,362
casent0172874_p_1.png,176,127,536,228
inbiocri001282212_p_1.png,336,153,700,269
casent0160868_p_1.png,359,131,641,332
casent0217255_p_1.png,781,152,435,179
focol0211_p_1.png,565,253,313,321
casent0908654_p_1.png,385,179,764,277
casent0916006_p_1.png,240,147,617,275
casent0217150_p_1.png,250,60,549,175
casent0152313_p_1.png,241,206,513,293
casent0914530_p_1.png,258,268,567,365
casent0103475_p_1.png,356,213,713,381
casent0281571_p_1.png,422,220,572,401
casent0923502_p_1.png,533,236,981,427
casent0604848_p_1.png,260,177,686,274
casent0902951_p_1.png,272,181,562,291
casent0912064_p_1.png,432,229,879,394
casent0603860_p_1.png,326,196,681,267
casent0249952_p_1.png,390,179,630,347
inb0003617003_p_1.png,158,161,395,263
casent0618082_p_1.png,381,224,651,342
casent0907246_p_1.png,225,168,561,260
casent0907939_p_1.png,325,198,696,354
focol0180_p_1.png,587,359,1149,483
casent0909079_p_1.png,304,284,657,415
casent0217543_p_1.png,308,129,600,229
casent0882300_p_1.png,485,541,1038,490
casent0914033_p_1.png,209,201,636,243
casent0282296_p_1.png,246,130,706,313
casent0235076_p_1.png,406,144,716,265
casent0909829_p_1.png,333,253,795,445
casent0235506_p_1.png,437,201,830,216
casent0217298_p_1.png,203,183,608,300
casent0280138_p_1.png,252,110,524,237
casent0249065_p_1.png,485,163,744,335
casent0006672_p_1.png,387,265,772,337
casent0008604_p_1.png,441,174,970,374
casent0173481_p_1.png,323,291,565,361
casent0914017_p_1.png,403,218,823,322
casent0010628_p_1.png,248,232,626,316
casent0235039_p_1.png,362,217,684,286
casent0280505_p_1.png,298,146,667,293
lacment144199_p_1.png,629,245,1079,244
casent0922330_p_1.png,253,221,646,362
casent0102743_p_1.png,211,179,648,321
antweb1041367_p_1.png,705,536,1036,595
casent0281059_p_1.png,321,119,767,295
casent0824781_p_1.png,467,293,899,413
